x,y,u,v,p
4.6,1.3,-0.00015352906,-3.8760292e-05,-2.4630619e-05
4.7,1.4,-0.00011055228,-3.8320217e-05,-1.8570272e-05
4.8,1.5,-5.5737062e-05,-3.3416334e-05,-1.1057912e-05
4.9,1.6,1.8908942e-05,-2.5409076e-05,-3.3128317e-06
2.39379,-0.9089763,3.2648906e-05,-5.3784574e-05,-4.4278215e-05
2.3928306,-0.81102896,-1.5225331e-05,-5.5984237e-05,-4.4086817e-05
2.4952705,-0.7056273,-5.919786e-05,-5.3884894e-05,-4.4742614e-05
2.5975962,-0.60169655,-9.940891e-05,-4.9968734e-05,-4.5167235e-05
2.6987832,-0.5005583,-0.00013589485,-4.4620596e-05,-4.538566e-05
2.8,-0.4,-0.00016932726,-3.8099104e-05,-4.5424717e-05
2.9,-0.3,-0.00019910761,-3.085461e-05,-4.5301065e-05
3.0,-0.2,-0.00022475065,-2.3323912e-05,-4.504536e-05
3.1,-0.1,-0.00024567402,-1.6064749e-05,-4.4687822e-05
3.2,3.7231503e-11,-0.00026159626,-9.639478e-06,-4.4258082e-05
